Genotype,Condition,Antagonist,Time,pi34p2,pip3,pten_percentage,inpp4b_percentage_crisp,ship2_percentage_crisp,ship2_percentage,inpp4a_percentage,pi34p2_degradation_via_inpp4ab,pi3k_act
PTEN,siINPP4(A+B),-,300,1.49914853882448,0.0602831137621482,0,1,1,1,1,0,1
PTEN,siINPP4(A+B),-,360,5.14645919328153,0.290557270396878,0,1,1,1,1,0,1
PTEN,siINPP4(A+B),-,370.2,6.82520133781034,0.344927639536912,0,1,1,1,1,0,1
PTEN,siINPP4(A+B),-,375,6.61535701824473,0.301131488653821,0,1,1,1,1,0,1
PTEN,siINPP4(A+B),-,600,13.9040228674963,0.198873250841185,0,1,1,1,1,0,1
PTEN,siINPP4(A+B),-,1200,9.64274893071831,0.198524184264019,0,1,1,1,1,0,1
PTEN,siINPP4(A+B),1uMPI-103,370.2,7.09022607538547,0.232438014684965,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,375,6.95702806351717,0.193223376783014,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,390,7.99107277001003,0.131792333905502,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,420,6.23207460324698,0.0873227213687831,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,480,4.95493339919259,0.0631239958052938,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,600,3.91858586871532,0.040252061791657,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,750,2.00682220283545,0.0270141953750553,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,900,1.98736395226912,0.0298417475373844,0,1,1,1,1,0,0
PTEN,siINPP4(A+B),1uMPI-103,1200,1.42239169707871,0.0329588058171485,0,1,1,1,1,0,0
PTEN,siINPP4(A+B)&siSHIP2,-,300,1.32191748864249,0.0718342651251274,0,1,1,0,1,0,1
PTEN,siINPP4(A+B)&siSHIP2,-,360,4.06558940487541,0.637715256293095,0,1,1,0,1,0,1
PTEN,siINPP4(A+B)&siSHIP2,-,600,11.4921881885256,0.615263673298257,0,1,1,0,1,0,1
PTEN,siINPP4(A+B)&siSHIP2,-,1200,11.4638089547188,0.474717583040355,0,1,1,0,1,0,1
PTEN,siSHIP2,-,300,1.05789549569518,0.0647418110995299,0,1,1,0,1,1,1
PTEN,siSHIP2,-,360,2.06220007035448,0.891850135822354,0,1,1,0,1,1,1
PTEN,siSHIP2,-,370.2,NA,0.973597026597397,0,1,1,0,1,1,1
PTEN,siSHIP2,-,600,1.69464486521813,0.825900885734562,0,1,1,0,1,1,1
PTEN,siSHIP2,-,1200,1.99551551055826,0.523947861307987,0,1,1,0,1,1,1
PTEN,siSHIP2,1uMPI-103,370.2,NA,1.08543117735347,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,375,NA,0.677064631196415,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,390,NA,0.835371023080088,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,420,NA,0.590487929970101,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,450,NA,0.415868554558331,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,480,NA,0.339977646413607,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,540,NA,0.226177496736607,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,900,NA,0.12337708287644,0,1,1,0,1,1,0
PTEN,siSHIP2,1uMPI-103,1200,NA,0.0560402038458966,0,1,1,0,1,1,0
PTEN,sictrl,-,300,0.948272288712092,0.0459609091315431,0,1,1,1,1,1,1
PTEN,sictrl,-,360,2.68972564170929,0.389793078556263,0,1,1,1,1,1,1
PTEN,sictrl,-,370.2,2.38241217518023,0.310930150138286,0,1,1,1,1,1,1
PTEN,sictrl,-,375,3.08039053836275,0.386993003416315,0,1,1,1,1,1,1
PTEN,sictrl,-,600,2.01904521436877,0.235973170157585,0,1,1,1,1,1,1
PTEN,sictrl,-,1200,1.47518687072482,0.200620848084924,0,1,1,1,1,1,1
PTEN,sictrl,1uMPI-103,370.2,2.81571679965752,0.312138890996821,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,375,2.58272915300546,0.231657498590076,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,390,1.93552339319803,0.150848746036776,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,420,1.56516065102712,0.0873535834123614,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,450,NA,0.0763522497208685,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,480,1.49348190245493,0.0486933500397349,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,540,NA,0.0467146870259716,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,600,0.970454547447664,0.0357573656155211,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,750,0.632435712330417,0.0261140059952087,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,900,0.834125404927864,0.0262734999547129,0,1,1,1,1,1,0
PTEN,sictrl,1uMPI-103,1200,0.995135294690352,0.0359261947267071,0,1,1,1,1,1,0
PTEN-INPP4B,siINPP4A,-,300,1.42729114956768,0.0379404441996789,0,0,1,1,0,1,1
PTEN-INPP4B,siINPP4A,-,360,7.15362833452208,0.352200283474661,0,0,1,1,0,1,1
PTEN-INPP4B,siINPP4A,-,600,11.3548436395401,0.17786339077501,0,0,1,1,0,1,1
PTEN-INPP4B,siINPP4A,-,1200,5.75450070466021,0.192050765092336,0,0,1,1,0,1,1
PTEN-INPP4B,sictrl,-,300,1.59714294466265,0.0347183267234636,0,0,1,1,1,1,1
PTEN-INPP4B,sictrl,-,360,5.44717636855492,0.299279470873577,0,0,1,1,1,1,1
PTEN-INPP4B,sictrl,-,600,9.75298031646146,0.213352033589689,0,0,1,1,1,1,1
PTEN-INPP4B,sictrl,-,1200,3.86206738878011,0.172252410324178,0,0,1,1,1,1,1
PTEN-SHIP2,siINPP4(A+B),-,300,1.61805099476152,0.036175686971938,0,1,0,1,1,0,1
PTEN-SHIP2,siINPP4(A+B),-,360,3.36129207861244,0.626361717608349,0,1,0,1,1,0,1
PTEN-SHIP2,siINPP4(A+B),-,600,18.0801041614694,0.930490331846612,0,1,0,1,1,0,1
PTEN-SHIP2,siINPP4(A+B),-,1200,15.924168705556,0.538682075255531,0,1,0,1,1,0,1
PTEN-SHIP2,sictrl,-,300,1.16737895890153,0.0373555498068456,0,1,0,1,1,1,1
PTEN-SHIP2,sictrl,-,360,2.72993754318074,0.902095550914119,0,1,0,1,1,1,1
PTEN-SHIP2,sictrl,-,600,2.61258001094562,1.05247655290887,0,1,0,1,1,1,1
PTEN-SHIP2,sictrl,-,1200,2.32443350571246,0.514472303412028,0,1,0,1,1,1,1
WT,siINPP4(A+B),-,300,1.37883582496908,0.0431803787815771,1,1,1,1,1,0,1
WT,siINPP4(A+B),-,360,2.04522291642737,0.233652006961829,1,1,1,1,1,0,1
WT,siINPP4(A+B),-,370.2,1.74564456449968,0.158914846740945,1,1,1,1,1,0,1
WT,siINPP4(A+B),-,375,1.71568169436918,0.188743500779314,1,1,1,1,1,0,1
WT,siINPP4(A+B),-,600,1.6449378726383,0.14262052332885,1,1,1,1,1,0,1
WT,siINPP4(A+B),-,1200,1.38996715492546,0.103163763772936,1,1,1,1,1,0,1
WT,siINPP4(A+B),1uMPI-103,370.2,1.4845463644634,0.0918252998124785,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,375,1.67243277133364,0.0930839402661763,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,390,1.25546248137061,0.0499592215585498,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,420,1.24963270010514,0.036140342569875,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,480,1.29634767897284,0.0381529031438513,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,600,1.17153430221579,0.0363546453859616,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,750,1.10990430683103,0.0347842512874703,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,900,0.95300247291409,0.0239709555737647,1,1,1,1,1,0,0
WT,siINPP4(A+B),1uMPI-103,1200,1.17957056496416,0.0353597769618624,1,1,1,1,1,0,0
WT,siSHIP2,-,300,1.3067853049198,0.0545585971668267,1,1,1,0,1,1,1
WT,siSHIP2,-,360,1.48205568239819,0.495881976009904,1,1,1,0,1,1,1
WT,siSHIP2,-,370.2,NA,0.37287284023891,1,1,1,0,1,1,1
WT,siSHIP2,-,600,2.50398631015036,0.249213616280735,1,1,1,0,1,1,1
WT,siSHIP2,-,1200,1.53355600380823,0.134598959166693,1,1,1,0,1,1,1
WT,siSHIP2,1uMPI-103,370.2,NA,0.291349613556029,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,375,NA,0.122869706290745,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,390,NA,0.068280017409304,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,420,NA,0.0559557506341957,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,450,NA,0.0627799529587508,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,480,NA,0.0372657429459905,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,540,NA,0.047144647673797,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,900,NA,0.0436776633670335,1,1,1,0,1,1,0
WT,siSHIP2,1uMPI-103,1200,NA,0.0210923330908169,1,1,1,0,1,1,0
WT,sictrl,-,300,1.5422647422002,0.0460818625114411,1,1,1,1,1,1,1
WT,sictrl,-,360,1.77204590917374,0.265338121906874,1,1,1,1,1,1,1
WT,sictrl,-,370.2,NA,0.217138690170676,1,1,1,1,1,1,1
WT,sictrl,-,600,1.50310821924326,0.144929740301205,1,1,1,1,1,1,1
WT,sictrl,-,1200,1.27339831426273,0.0843950374724127,1,1,1,1,1,1,1
WT,sictrl,1uMPI-103,370.2,NA,0.132745852052321,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,375,NA,0.0916986268145623,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,390,NA,0.0657695850745802,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,420,NA,0.0350575730323261,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,450,NA,0.0377749734404359,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,480,NA,0.0382344074200823,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,540,NA,0.0244426960101957,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,900,NA,0.0218539469183841,1,1,1,1,1,1,0
WT,sictrl,1uMPI-103,1200,NA,0.012307083943578,1,1,1,1,1,1,0
